#,Performer,Lead_Streams,Tracks,1b+,100m+,10m+,1m+,min,debut,artist_type,,Featured Streams,Last Update
1,Drake,"42,937,631,439",249,4,112,241,244,5/23/2009,4569,solo,1,"16,684,499,405",11/23/2021
2,Ed Sheeran,"32,149,951,918",207,7,56,155,182,7/28/2012,3407,solo,2,"2,372,996,026",11/23/2021
3,Bad Bunny,"29,409,721,272",141,2,81,134,140,1/12/2019,1048,solo,3,"4,096,549,296",11/23/2021
4,Ariana Grande,"28,008,187,086",179,4,63,123,172,8/10/2013,3029,solo,4,"1,802,202,457",11/23/2021
5,The Weeknd,"27,049,238,010",148,6,61,125,140,11/17/2012,3295,solo,5,"3,386,574,796",11/23/2021
6,Justin Bieber,"26,503,035,185",220,5,52,164,191,7/25/2009,4506,solo,6,"9,934,693,754",11/23/2021
7,Post Malone,"25,976,729,128",67,8,52,65,66,9/26/2015,2252,solo,7,"2,101,241,164",11/23/2021
8,Eminem,"25,564,561,374",276,2,57,218,256,2/27/1999,8307,solo,8,"3,605,526,953",11/23/2021
9,Taylor Swift,"23,692,341,851",319,1,67,242,308,9/23/2006,5542,solo,9,"320,744,467",11/23/2021
10,J Balvin,"22,388,864,308",227,2,61,134,211,9/26/2015,2252,solo,10,"9,001,402,524",11/23/2021
11,BTS,"21,763,224,516",252,1,82,193,250,10/7/2017,1510,group,11,"158,992,564",11/23/2021
12,Kanye West,"20,373,338,577",234,0,52,185,212,11/29/2003,6571,solo,12,"4,900,441,485",11/23/2021
13,Billie Eilish,"19,476,936,986",63,3,40,57,61,8/4/2018,1209,solo,13,0,11/23/2021
14,Ozuna,"18,706,400,558",205,1,46,146,187,9/8/2018,1174,solo,14,"6,797,564,506",11/23/2021
15,Khalid,"18,605,993,207",98,6,36,84,94,1/28/2017,1762,solo,15,"2,403,495,034",11/22/2021
16,XXXTENTACION,"18,447,438,505",130,5,38,101,118,11/4/2017,1482,solo,16,"2,307,726,785",11/22/2021
17,Juice WRLD,"18,432,605,050",96,1,53,94,95,5/26/2018,1279,solo,17,"2,757,111,592",11/22/2021
18,Coldplay,"18,351,923,243",294,2,31,159,270,3/10/2001,7565,solo,18,0,11/22/2021
19,Travis Scott,"17,892,493,560",109,3,42,90,102,9/26/2015,2252,solo,19,"8,390,483,418",11/23/2021
20,Rihanna,"17,832,942,691",273,1,43,106,197,6/11/2005,6011,solo,20,"7,208,624,811",11/23/2021
21,Imagine Dragons,"17,706,770,752",145,4,33,99,127,6/23/2012,3442,group,21,"57,470,047",11/23/2021
22,Dua Lipa,"17,465,917,364",190,5,32,74,158,11/5/2016,1846,solo,22,"287,932,115",11/23/2021
23,Maroon 5,"17,246,221,016",237,3,28,102,193,8/23/2003,6669,group,23,"16,734",11/22/2021
24,Shawn Mendes,"16,533,538,705",124,4,29,92,119,7/12/2014,2693,solo,24,"104,903,919",11/23/2021
25,David Guetta,"16,025,794,148",646,1,41,126,353,NA,NA,solo,25,"1,029,617,516",11/15/2021
26,Calvin Harris,"15,729,735,238",217,2,28,81,173,2/25/2012,3561,solo,26,"386,294,443",11/18/2021
27,Daddy Yankee,"15,321,097,277",344,3,38,85,200,11/13/2004,6221,solo,27,"4,780,741,585",11/22/2021
28,Sam Smith,"15,027,847,465",139,3,29,78,127,4/19/2014,2777,solo,28,"260,406,816",11/23/2021
29,Bruno Mars,"14,895,605,624",78,4,28,57,72,8/7/2010,4128,solo,29,"3,358,733,368",11/23/2021
30,Queen,"14,190,399,496",558,4,23,89,395,2/8/1975,17092,group,30,"28,789,471",11/23/2021
